City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
233,Mossendjo,CG,-2.95,12.73,76.05,59,92,2.08,overcast clouds
234,Harrai,IN,22.62,79.22,75.38,93,55,4.72,broken clouds
235,Esperance,AU,-33.87,121.9,53.89,88,99,5.12,overcast clouds
236,Yulara,AU,-25.24,130.99,50.31,26,5,7.54,clear sky
237,Half Moon Bay,US,37.46,-122.43,86.54,68,0,14.97,mist
238,Cap-Aux-Meules,CA,47.38,-61.86,71.65,73,40,12.66,scattered clouds
239,Avera,US,33.19,-82.53,90.37,47,3,9.73,clear sky
240,Vila Velha,BR,-20.33,-40.29,80.55,75,20,13.8,few clouds
241,Hirado,JP,33.36,129.55,80.38,90,100,24.4,overcast clouds
242,Moose Factory,CA,51.26,-80.61,71.58,83,75,6.91,broken clouds
243,Camacha,PT,33.08,-16.33,69.22,73,40,11.5,scattered clouds
244,Sungairaya,ID,0.7,108.9,78.35,82,84,5.79,broken clouds
245,Kununurra,AU,-15.77,128.73,57.18,88,3,2.3,clear sky
246,Hualmay,PE,-11.1,-77.61,66.7,70,61,11.41,broken clouds
247,Salama,HN,14.83,-86.58,81.3,62,63,4.68,broken clouds
248,Ratnagiri,IN,16.98,73.3,78.31,87,100,6.85,overcast clouds
249,Ossora,RU,59.24,163.07,57.24,92,84,0.45,broken clouds
250,Le Vauclin,MQ,14.55,-60.84,87.85,62,40,19.57,scattered clouds
251,Dukhovshchina,RU,55.19,32.41,56.66,72,71,6.04,broken clouds
252,Salamanca,ES,40.83,-6.0,94.62,20,12,20.71,few clouds
253,Raudeberg,NO,61.99,5.14,56.07,81,95,13.47,overcast clouds
254,Plettenberg Bay,ZA,-34.05,23.37,60.73,81,58,5.95,broken clouds
255,Dunedin,NZ,-45.87,170.5,50.81,91,100,8.99,moderate rain
256,Teahupoo,PF,-17.83,-149.27,69.76,74,49,7.65,light rain
257,Narsaq,GL,60.92,-46.05,62.82,65,73,5.17,broken clouds
258,Leningradskiy,RU,69.38,178.42,33.35,91,100,21.59,light snow
259,Hamilton,US,39.18,-84.53,79.95,82,100,8.05,overcast clouds
260,Komsomolskiy,UZ,40.43,71.72,84.92,23,0,6.91,clear sky
261,Kosh-Agach,RU,50.0,88.67,46.89,89,100,2.19,overcast clouds
262,Maun,BW,-19.98,23.42,59.38,42,0,6.89,clear sky
263,Kavieng,PG,-2.57,150.8,82.36,75,99,13.85,overcast clouds
264,Bombo,ID,-8.61,119.01,75.06,84,96,3.8,overcast clouds
265,Mangaluru,IN,12.87,74.88,76.06,88,75,0.0,broken clouds
266,Moerai,PF,-22.43,-151.33,73.24,78,72,22.73,broken clouds
267,Quimper,FR,48.0,-4.1,93.78,24,0,8.05,clear sky
268,Norman Wells,CA,65.28,-126.83,69.84,56,75,11.5,broken clouds
269,Leua,SK,48.22,18.61,81.5,32,42,5.01,scattered clouds
270,Yeppoon,AU,-23.13,150.73,49.78,84,6,3.87,clear sky
271,Vila Do Maio,CV,15.13,-23.22,79.59,83,100,16.51,overcast clouds
272,Ayagoz,KZ,47.97,80.44,60.39,44,26,5.57,scattered clouds
273,Bontang,ID,0.13,117.5,79.41,80,99,0.98,overcast clouds
274,Taywarah,AF,33.35,64.42,66.7,16,2,4.97,clear sky
275,Los Llanos De Aridane,ES,28.66,-17.92,74.12,81,20,16.11,few clouds
276,Villa Carlos Paz,AR,-31.42,-64.5,60.89,22,1,11.01,clear sky
277,Nioro,GM,13.35,-15.75,87.94,56,85,8.5,light rain
278,Avallon,FR,47.48,3.9,94.42,21,2,7.05,clear sky
279,Westport,US,41.14,-73.36,81.32,95,100,10.36,mist
280,Alofi,NU,-19.06,-169.92,71.49,94,40,8.05,scattered clouds
281,Batagay-Alyta,RU,67.8,130.41,52.21,94,100,5.17,overcast clouds
282,Carinhanha,BR,-14.3,-43.76,88.25,28,14,12.41,few clouds
283,Carnarvon,AU,-24.87,113.63,64.26,68,0,13.31,clear sky
284,Alyangula,AU,-13.85,136.42,68.61,87,50,5.86,scattered clouds
285,Padang,ID,-0.95,100.35,77.16,81,53,3.96,broken clouds
286,Lithakia,GR,37.72,20.83,85.37,54,20,9.22,few clouds
287,Bata,GQ,1.86,9.77,77.34,75,74,9.51,broken clouds
288,Buraydah,SA,26.33,43.98,100.85,10,65,9.51,broken clouds
289,Santa Cruz Del Sur,CU,20.71,-78.0,90.36,56,6,11.52,clear sky
290,Katherine,AU,-14.47,132.27,61.12,72,6,5.75,clear sky
291,Alta Floresta,BR,-9.88,-56.09,96.33,17,0,5.14,clear sky
292,Ponta Do Sol,PT,32.67,-17.1,76.01,76,8,3.4,clear sky
293,Port Elizabeth,ZA,-33.92,25.57,64.31,92,75,5.75,broken clouds
294,Alcantara,BR,-2.41,-44.41,89.8,78,85,10.16,light rain
295,Hay River,CA,60.82,-115.8,73.38,40,2,10.36,clear sky
296,Dikson,RU,73.51,80.55,46.33,75,19,13.06,few clouds
297,Tahlequah,US,35.92,-94.97,94.28,32,0,6.26,clear sky
298,Dhulagari,IN,22.59,88.17,84.09,79,80,9.78,broken clouds
299,Ampanihy,MG,-24.7,44.75,66.52,72,3,13.76,clear sky
300,Kashan,IR,33.98,51.44,92.8,10,0,8.16,clear sky
301,Rochelle,FR,46.25,-1.0,102.94,15,0,17.27,clear sky
302,Balsas,BR,-7.53,-46.04,95.92,23,22,7.49,few clouds
303,Bubaque,GW,11.28,-15.83,79.09,83,100,12.06,overcast clouds
304,Antanifotsy,MG,-19.65,47.32,47.68,90,94,8.7,overcast clouds
305,Merauke,ID,-8.47,140.33,75.45,90,90,11.68,overcast clouds
306,Barinas,VE,8.62,-70.21,73.26,95,100,8.21,overcast clouds
307,Saint-Joseph,RE,-21.37,55.62,66.58,77,44,19.06,scattered clouds
308,Ilulissat,GL,69.22,-51.1,48.22,81,20,8.05,few clouds
309,Ulladulla,AU,-35.35,150.47,44.29,79,34,11.07,scattered clouds
310,Guerrero Negro,MX,27.98,-114.06,81.3,48,6,7.92,clear sky
311,Afonso Claudio,BR,-20.07,-41.12,81.86,38,12,6.31,few clouds
312,Baykit,RU,61.67,96.37,56.35,98,100,4.76,moderate rain
313,Henties Bay,NA,-22.12,14.28,60.96,76,4,13.13,clear sky
314,Fairbanks,US,64.84,-147.72,56.61,91,100,9.22,light rain
315,Jacareacanga,BR,-6.22,-57.75,97.5,27,12,4.63,few clouds
316,Hailar,CN,49.2,119.7,62.69,88,97,5.08,overcast clouds
317,Aiquile,BO,-18.2,-65.18,76.08,31,72,7.94,broken clouds
318,Riacho De Santana,BR,-13.61,-42.94,83.62,34,12,14.45,few clouds
319,Ippy,CF,6.27,21.22,70.83,91,93,3.65,light rain
320,Babocsa,HU,46.04,17.34,75.65,30,16,5.48,few clouds
321,Nouadhibou,MR,20.93,-17.03,69.15,87,12,19.04,few clouds
322,Tuban,ID,-6.9,112.06,75.67,86,76,7.27,broken clouds
323,Cayenne,GF,4.93,-52.33,82.09,1,75,10.36,fog
324,Pahrump,US,36.21,-115.98,98.65,26,82,5.99,broken clouds
325,Talaya,RU,61.38,152.75,61.95,91,56,8.14,broken clouds
326,Zaragoza,ES,41.66,-0.88,102.65,25,0,16.11,clear sky
327,Coquimbo,CL,-29.95,-71.34,60.53,72,0,11.5,clear sky
328,Corlu,TR,41.16,27.8,67.98,68,0,16.11,clear sky
329,Acarau,BR,-2.89,-40.12,84.72,58,14,18.25,few clouds
330,Ancud,CL,-41.87,-73.82,44.22,69,93,6.76,overcast clouds
331,Bairiki,KI,1.33,172.98,80.6,83,20,11.5,few clouds
332,Broome,US,42.25,-75.83,77.7,86,100,8.05,overcast clouds
333,La Paz,BO,-16.5,-68.15,60.78,33,40,6.91,scattered clouds
334,Anadyr,RU,64.75,177.48,46.49,65,22,29.51,few clouds
335,Novo Selo,MK,41.41,22.88,72.19,34,0,0.98,clear sky
336,Talnakh,RU,69.49,88.4,55.47,62,77,2.3,broken clouds
337,Ostrovnoy,RU,68.05,39.51,56.43,86,73,6.76,broken clouds
338,Saint Anthony,US,45.02,-93.22,95.11,48,0,13.8,clear sky
339,Karratha,AU,-20.74,116.85,67.95,68,0,4.52,clear sky
340,Xique-Xique,BR,-10.82,-42.73,86.32,36,3,13.96,clear sky
341,Rawson,AR,-43.3,-65.1,50.4,37,20,25.3,few clouds
342,Grand Gaube,MU,-20.01,57.66,69.39,68,82,8.99,broken clouds
343,Khalkhal,IR,37.62,48.53,67.82,38,0,7.36,clear sky
344,Yatou,CN,37.15,122.38,70.81,79,42,5.1,scattered clouds
345,Flin Flon,CA,54.77,-101.86,78.64,50,75,5.75,smoke
346,Saint-Augustin,CA,51.23,-58.65,74.88,46,53,12.62,broken clouds
347,Kalmunai,LK,7.42,81.82,80.8,83,69,5.12,broken clouds
348,Lascahobas,HT,18.83,-71.94,94.64,34,6,2.77,clear sky
349,Dingle,PH,11.0,122.67,75.15,94,100,1.99,overcast clouds
350,Fort Stewart,US,31.87,-81.61,89.69,89,75,6.91,broken clouds
351,Te Anau,NZ,-45.42,167.72,42.82,96,100,1.95,overcast clouds
352,Hami,CN,42.8,93.45,82.94,25,43,8.86,scattered clouds
353,Natal,BR,-5.8,-35.21,77.65,94,75,6.91,broken clouds
354,Ko Samui,TH,9.54,99.94,84.04,75,44,8.37,light rain
355,Veraval,IN,20.9,70.37,81.0,84,100,13.33,overcast clouds
356,Limbang,MY,4.75,115.0,80.71,87,98,1.83,overcast clouds
357,Uruguaiana,BR,-29.75,-57.09,62.53,63,0,10.36,clear sky
358,Mobai,SL,7.99,-10.75,74.43,96,96,5.46,moderate rain
359,Faya,SA,18.39,42.45,72.12,39,58,3.91,broken clouds
360,San Cristobal,VE,7.77,-72.22,77.18,71,88,6.17,overcast clouds
