City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
515,Kieta,PG,78.21,few clouds,-6.22,155.63,Uruna Bay Retreat
516,Waverly,US,87.94,few clouds,42.74,-84.62,"Crowne Plaza Lansing West, an IHG Hotel"
517,Trairi,BR,83.71,clear sky,-3.28,-39.27,janelas do mar
519,Ingham,US,87.42,scattered clouds,42.6,-84.38,Sunset Mobile Home Park
521,Kroya,ID,76.68,overcast clouds,-7.63,109.25,Hotel Srandil
525,Caborca,MX,89.19,scattered clouds,30.58,-111.1,Hotel Los Lagos
528,Benjamin Constant,BR,84.33,thunderstorm,-4.38,-70.03,CASA AVALIADA
532,Nabire,ID,75.24,overcast clouds,-3.37,135.48,Hotel Nusantara I
534,Nago,JP,82.83,overcast clouds,26.59,127.98,Hotel Yugaf Inn Okinawa
539,Itoman,JP,82.78,overcast clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
543,Namuac,PH,79.65,overcast clouds,18.61,121.17,Mlin Hotel
544,Pedernales,DO,89.85,clear sky,18.04,-71.74,Hotel Costa Marina
545,Marsaxlokk,MT,86.61,clear sky,35.84,14.54,Water's Edge
546,Mastic Beach,US,81.99,overcast clouds,40.77,-72.85,Brushwood House by Smith Point Beach
548,Pacifica,US,85.98,mist,37.61,-122.49,"Pacifica Lighthouse, Trademark Collection by Wyndham"
549,Fereydun Kenar,IR,81.84,clear sky,36.69,52.52,Khezer Shahr Tourist Hotel
550,Wilson,US,79.45,broken clouds,36.15,-86.28,"Holiday Inn Express & Suites Lebanon-Nashville Area, an IHG Hotel"
554,Lively,CA,85.12,scattered clouds,46.43,-81.15,Lively Inn & Suites
555,Galle,LK,80.2,broken clouds,6.04,80.22,Amangalla
559,Mangrol,IN,81.07,overcast clouds,21.12,70.12,Hotel The Royal Honours
561,Leona Vicario,MX,87.67,clear sky,20.97,-87.19,Don Ros Cabañas y Restaurante
563,Huilong,CN,79.93,broken clouds,31.81,121.66,Hilton Garden Inn Qidong
564,Shache,CN,88.72,clear sky,38.42,77.24,Delong Hotel
565,Riberalta,BO,80.8,clear sky,-10.98,-66.1,Hotel Colonial
566,Eydhafushi,MV,81.73,light rain,5.1,73.07,Soneva Fushi
567,Tiarei,PF,75.22,scattered clouds,-17.53,-149.33,Le Rocher de Tahiti
569,Bereda,ES,77.41,broken clouds,43.27,-7.54,Pazo de Verdes
573,Lazaro Cardenas,MX,86.4,overcast clouds,17.96,-102.2,HOTEL QUINTA ANTIGUA
574,Estevan,CA,81.21,clear sky,49.13,-102.98,"Motel 6 Estevan, SK"
582,Ledyard,US,77.41,mist,41.44,-72.01,Stonecroft Country Inn
