City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
142,Gravdal,NO,2022-07-15 21:03:23,68.1214,13.5031,48.09,100,75,4.61
143,Teya,RU,2022-07-15 21:03:23,60.3778,92.6267,43.12,96,20,2.42
144,Riyadh,SA,2022-07-15 21:00:33,24.6877,46.7219,91.83,11,72,9.64
145,Devonport,AU,2022-07-15 21:03:24,-41.1667,146.35,49.01,83,100,6.06
146,Grindavik,IS,2022-07-15 21:03:24,63.8424,-22.4338,52.27,93,100,23.02
147,Varzelandia,BR,2022-07-15 21:03:26,-15.7014,-44.0275,70.75,29,12,2.91
148,Albany,US,2022-07-15 21:03:26,42.6001,-73.9662,86.18,36,23,3.47
149,Dagana,MR,2022-07-15 21:03:27,16.5165,-15.5068,84.51,60,42,17.54
150,Hangal,IN,2022-07-15 21:03:27,14.7667,75.1333,71.28,92,90,15.12
151,Sao Domingos,BR,2022-07-15 21:03:27,-13.3983,-46.3183,77.36,34,8,6.4
152,Breves,BR,2022-07-15 21:03:28,-1.6822,-50.4803,81.46,70,92,1.92
153,Dandong,CN,2022-07-15 20:59:34,40.1292,124.3947,66.24,95,1,4.92
154,Port Alfred,ZA,2022-07-15 21:02:20,-33.5906,26.891,56.17,88,13,14.23
155,Pullman,US,2022-07-15 21:03:28,46.7313,-117.1796,88.03,34,0,8.99
156,Cherskiy,RU,2022-07-15 21:03:29,68.75,161.3,56.77,35,60,3.89
157,Thinadhoo,MV,2022-07-15 21:03:29,0.5333,72.9333,83.16,76,99,14.67
158,Curillo,CO,2022-07-15 21:03:30,1.0333,-75.9191,85.15,65,74,3.76
159,Auki,SB,2022-07-15 21:01:24,-8.7676,160.7034,78.51,80,100,3.98
160,Camacha,PT,2022-07-15 21:01:19,33.0833,-16.3333,67.42,73,75,8.05
161,Manggar,ID,2022-07-15 21:03:31,-2.8833,108.2667,80.56,79,78,4.25
162,Upata,VE,2022-07-15 21:03:31,8.0086,-62.3989,76.19,91,89,1.05
163,Dudinka,RU,2022-07-15 21:03:31,69.4058,86.1778,51.03,75,22,9.28
164,Karlskrona,SE,2022-07-15 21:03:32,56.1616,15.5866,55.85,69,4,16.15
165,Sistranda,NO,2022-07-15 21:03:32,63.7256,8.834,48.16,75,100,15.21
166,Vila Do Maio,CV,2022-07-15 21:03:32,15.1333,-23.2167,75.58,76,100,5.17
167,Delta Del Tigre,UY,2022-07-15 21:03:33,-34.7633,-56.3853,52.21,100,100,10.36
168,Mineros,BO,2022-07-15 21:03:33,-17.1167,-63.2333,85.26,53,99,11.01
169,Kavieng,PG,2022-07-15 21:03:33,-2.5744,150.7967,81.48,77,78,10.18
170,Vila Velha,BR,2022-07-15 21:00:21,-20.3297,-40.2925,72.55,76,11,11.48
171,Castro,BR,2022-07-15 20:56:08,-24.7911,-50.0119,63.14,65,98,5.21
172,Tiksi,RU,2022-07-15 21:03:34,71.6872,128.8694,39.63,88,94,6.67
173,Tupancireta,BR,2022-07-15 21:03:34,-29.0806,-53.8358,63.52,86,78,9.04
174,Caala,AO,2022-07-15 21:03:35,-12.8525,15.5606,56.16,38,0,2.42
175,San Cristobal,VE,2022-07-15 21:03:35,7.7669,-72.225,78.98,62,35,4.61
176,Longyearbyen,SJ,2022-07-15 21:01:43,78.2186,15.6401,57.04,62,75,13.8
177,Qaanaaq,GL,2022-07-15 20:56:07,77.484,-69.3632,50.47,63,79,8.79
178,Potsdam,DE,2022-07-15 21:03:36,52.3989,13.0657,64.18,55,97,6.51
179,Port Keats,AU,2022-07-15 21:03:36,-14.25,129.55,59.79,67,10,8.14
180,Nevelsk,RU,2022-07-15 21:03:36,46.6733,141.8633,55.13,83,90,13.24
181,San Quintin,MX,2022-07-15 21:01:37,30.4833,-115.95,73.63,66,2,13.04
182,Kruisfontein,ZA,2022-07-15 21:04:37,-34.0033,24.7314,51.89,81,91,4.21
183,Salalah,OM,2022-07-15 21:04:37,17.0151,54.0924,78.82,87,100,10.02
184,Keller,US,2022-07-15 21:04:38,32.9346,-97.2517,102.52,34,40,8.05
185,Meulaboh,ID,2022-07-15 21:04:38,4.1363,96.1285,76.41,88,88,3.96
186,Miles City,US,2022-07-15 21:02:00,46.4083,-105.8406,99.57,25,0,6.91
187,Soyo,AO,2022-07-15 21:04:39,-6.1349,12.3689,70.38,91,3,8.1
188,Ust-Uda,RU,2022-07-15 21:04:39,54.1742,103.0304,52.07,96,100,3.11
189,Palm Coast,US,2022-07-15 21:03:41,29.585,-81.2078,90.09,68,0,11.5
190,Arlit,NE,2022-07-15 21:04:40,18.7369,7.3853,96.1,10,5,13.73
191,Dali,CN,2022-07-15 21:04:40,25.7,100.1833,64.33,91,65,4.56
192,Tiznit,MA,2022-07-15 21:04:40,29.5833,-9.5,80.76,47,33,0.98
